dataset,model,condition,slice,mean,ci_low,ci_high,n_deletion_realizations,n_training_seeds,n_queries
WN18RR,TransE,Relation-low,coverage_mid,0.12958973575162938,0.11742479177864593,0.1422510224634467,3,3,1167
WN18RR,DistMult,Original,coverage_mid,0.2768520515286,0.24394510958840543,0.3072633345869479,1,3,1167
WN18RR,DistMult,Random,coverage_mid,0.1700524326952338,0.13825727581098413,0.19878779745597008,3,3,1167
WN18RR,DistMult,Structured-low,coverage_mid,0.18698487982094938,0.16146033556879805,0.21118101449832422,3,3,1167
WN18RR,DistMult,Relation-low,coverage_mid,0.20930956837820072,0.18805041590711377,0.23127628653859558,3,3,1167
WN18RR,ComplEx,Original,coverage_mid,0.3772201923569859,0.34489467434144816,0.40808329931656495,1,3,1167
WN18RR,ComplEx,Random,coverage_mid,0.2616311825387166,0.23726648343720894,0.2844912627200274,3,3,1167
WN18RR,ComplEx,Structured-low,coverage_mid,0.25280097886712005,0.23220911963595872,0.2746009203928749,3,3,1167
WN18RR,ComplEx,Relation-low,coverage_mid,0.2809703716609453,0.25739647229353263,0.3049915788844739,3,3,1167
WN18RR,RotatE,Original,coverage_mid,0.002140554753799146,0.0013257555902133366,0.0032033333642458818,1,3,1167
WN18RR,RotatE,Random,coverage_mid,0.0027811893674989175,0.0015615716915647008,0.004787276047275195,3,3,1167
WN18RR,RotatE,Structured-low,coverage_mid,0.0025498628530678195,0.0014254651557891618,0.004033531308669978,3,3,1167
WN18RR,RotatE,Relation-low,coverage_mid,0.0019027700173088716,0.0008717273461063968,0.0033676892787211535,3,3,1167
WN18RR,TransE,Original,relation_mid,0.18656668887167155,0.17517306716178876,0.19905758378562727,1,3,1074
WN18RR,TransE,Random,relation_mid,0.18902513863880638,0.18015241759739475,0.1981660232657176,3,3,1074
WN18RR,TransE,Structured-low,relation_mid,0.19040282023314917,0.18117118283748465,0.19966264877931447,3,3,1074
WN18RR,TransE,Relation-low,relation_mid,0.20888524153410168,0.19952695536007295,0.2185691575295444,3,3,1074
WN18RR,DistMult,Original,relation_mid,0.5186346828126722,0.4774619346979048,0.5596634596524,1,3,1074
WN18RR,DistMult,Random,relation_mid,0.3214594626613891,0.2711947968393059,0.36611746489092606,3,3,1074
WN18RR,DistMult,Structured-low,relation_mid,0.37492147915294355,0.3430834577386205,0.4084354041973561,3,3,1074
WN18RR,DistMult,Relation-low,relation_mid,0.46021171743412337,0.4379628357468789,0.4831375976638288,3,3,1074
WN18RR,ComplEx,Original,relation_mid,0.7715138564334123,0.7111097817657082,0.8201773233679068,1,3,1074
WN18RR,ComplEx,Random,relation_mid,0.539739302015497,0.508081628410584,0.5686463598445639,3,3,1074
WN18RR,ComplEx,Structured-low,relation_mid,0.5551007460157565,0.526983045789929,0.5808445298209158,3,3,1074
WN18RR,ComplEx,Relation-low,relation_mid,0.665491711134729,0.6392743915247766,0.6904729131142227,3,3,1074
WN18RR,RotatE,Original,relation_mid,0.001639473743263844,0.0006157511927112004,0.0037151216718925195,1,3,1074
WN18RR,RotatE,Random,relation_mid,0.0033575423886143476,0.0016264637775019657,0.005895310059683288,3,3,1074
WN18RR,RotatE,Structured-low,relation_mid,0.0031344095967825924,0.001502044541231247,0.005499485884364754,3,3,1074
WN18RR,RotatE,Relation-low,relation_mid,0.003078630584745148,0.001547048691569316,0.005286602823123777,3,3,1074
WN18RR,TransE,Original,coverage_high,0.13660852734557294,0.12494300931306526,0.14904020443679492,1,3,1075
WN18RR,TransE,Random,coverage_high,0.1313922932976355,0.12132758355378577,0.14239672735007083,3,3,1075
WN18RR,TransE,Structured-low,coverage_high,0.1326019083789311,0.12215586880888135,0.14359330361394482,3,3,1075
WN18RR,TransE,Relation-low,coverage_high,0.1278882578845147,0.11751160927056582,0.13869727524729733,3,3,1075
WN18RR,DistMult,Original,coverage_high,0.2843197369017615,0.2546366227056041,0.31660678544264953,1,3,1075
WN18RR,DistMult,Random,coverage_high,0.1634328132645859,0.13789339388143698,0.1888514707927186,3,3,1075
WN18RR,DistMult,Structured-low,coverage_high,0.19945564437722071,0.17812386876103092,0.2227335983100032,3,3,1075
WN18RR,DistMult,Relation-low,coverage_high,0.22663172616678076,0.20695598415766828,0.24700379543523843,3,3,1075
WN18RR,ComplEx,Original,coverage_high,0.44614026016206426,0.39600018561048733,0.48898321227339187,1,3,1075
WN18RR,ComplEx,Random,coverage_high,0.2946021619015184,0.26692378657302823,0.3219296805069457,3,3,1075
WN18RR,ComplEx,Structured-low,coverage_high,0.3211701848332236,0.2954475869249477,0.34616400575556305,3,3,1075
WN18RR,ComplEx,Relation-low,coverage_high,0.34729410648792164,0.3226112342981521,0.37330291829595236,3,3,1075
WN18RR,RotatE,Original,coverage_high,0.002877435927307129,0.0016362565555521512,0.0047904433459010475,1,3,1075
WN18RR,RotatE,Random,coverage_high,0.0038931308706020387,0.0023050009553023574,0.006347637600030158,3,3,1075
WN18RR,RotatE,Structured-low,coverage_high,0.004418648470841563,0.002799143324268162,0.006425854750311711,3,3,1075
