dataset,model,condition,slice,clean_mean,random_mean,structured_mean,random_degradation,structured_degradation,differential_degradation,ci_low,ci_high
CoDEx-M,TransE,Structured-low,coverage_mid,0.08856944024807081,0.09073114189445543,0.08820245185298316,-0.0021617016463846145,0.0003669883950876557,0.00252869004147227,-0.002854787065269501,0.008308883720772785
CoDEx-M,TransE,Relation-low,coverage_mid,0.08856944024807081,0.09073114189445543,0.09907325147196391,-0.0021617016463846145,-0.0105038112238931,-0.008342109577508486,-0.01443816426461065,-0.0015839044963974036
CoDEx-M,DistMult,Structured-low,coverage_mid,0.26262524290205813,0.2602536666425075,0.2523058779597909,0.002371576259550645,0.010319364942267206,0.007947788682716561,-0.0011723727600571705,0.016267525504745185
CoDEx-M,DistMult,Relation-low,coverage_mid,0.26262524290205813,0.2602536666425075,0.2560909463394715,0.002371576259550645,0.006534296562586639,0.004162720303035994,-0.006765442665489896,0.01528134287015817
CoDEx-M,ComplEx,Structured-low,coverage_mid,0.25910505451100524,0.2538154281795195,0.24735640648618487,0.0052896263314857195,0.011748648024820368,0.006459021693334649,-0.002172891547492408,0.014449780328653468
CoDEx-M,ComplEx,Relation-low,coverage_mid,0.25910505451100524,0.2538154281795195,0.24468490771060455,0.0052896263314857195,0.014420146800400685,0.009130520468914965,0.0018326447889010123,0.017539352387648303
CoDEx-M,RotatE,Structured-low,coverage_mid,0.01859984203869093,0.01946025991116494,0.01709688451834844,-0.0008604178724740084,0.0015029575203424905,0.002363375392816499,8.341165339096453e-05,0.004604996994815697
CoDEx-M,RotatE,Relation-low,coverage_mid,0.01859984203869093,0.01946025991116494,0.034779571397335854,-0.0008604178724740084,-0.016179729358644923,-0.015319311486170915,-0.023358823014886065,-0.006323828623031758
CoDEx-M,TransE,Structured-low,relation_mid,0.09961079330197964,0.09890168929590173,0.09973897111314574,0.0007091040060779041,-0.00012817781116609972,-0.0008372818172440039,-0.01302555863613695,0.009410993488771207
CoDEx-M,TransE,Relation-low,relation_mid,0.09961079330197964,0.09890168929590173,0.11324989913462848,0.0007091040060779041,-0.013639105832648837,-0.014348209838726741,-0.023350589849828508,-0.005136070092178182
CoDEx-M,DistMult,Structured-low,relation_mid,0.2757083510451755,0.27025316778002223,0.2627075646582175,0.005455183265153263,0.013000786386958008,0.007545603121804745,-0.0063078891509710504,0.021288732507223792
CoDEx-M,DistMult,Relation-low,relation_mid,0.2757083510451755,0.27025316778002223,0.2612434555006601,0.005455183265153263,0.01446489554451541,0.009009712279362148,-0.00810560850069118,0.02448738983873665
CoDEx-M,ComplEx,Structured-low,relation_mid,0.27163293059698346,0.2624954967026026,0.25323134080212084,0.009137433894380875,0.018401589794862616,0.009264155900481741,-0.006437053574438175,0.024413456153912147
CoDEx-M,ComplEx,Relation-low,relation_mid,0.27163293059698346,0.2624954967026026,0.2545485247053781,0.009137433894380875,0.01708440589160537,0.007946971997224495,-0.0017636617524520485,0.017297262747069143
CoDEx-M,RotatE,Structured-low,relation_mid,0.01633427569268084,0.01674278749120215,0.01603251587313067,-0.00040851179852131186,0.00030175981955016945,0.0007102716180714813,-0.0017106415928385282,0.0031625403692241275
CoDEx-M,RotatE,Relation-low,relation_mid,0.01633427569268084,0.01674278749120215,0.03175079983978853,-0.00040851179852131186,-0.015416524147107688,-0.015008012348586376,-0.02494788630673228,-0.0051689152605192915
CoDEx-M,TransE,Structured-low,coverage_high,0.11542195236771613,0.114894079146259,0.12351377248037514,0.0005278732214571286,-0.008091820112659007,-0.008619693334116135,-0.02314264885420132,0.003087129863377147
CoDEx-M,TransE,Relation-low,coverage_high,0.11542195236771613,0.114894079146259,0.12338139804336014,0.0005278732214571286,-0.007959445675644009,-0.008487318897101137,-0.020674949209903745,0.0019678285451809416
CoDEx-M,DistMult,Structured-low,coverage_high,0.27670696821190455,0.27694984462786526,0.2818273430477161,-0.0002428764159607133,-0.00512037483581157,-0.004877498419850856,-0.01869560390872069,0.009809878937881288
CoDEx-M,DistMult,Relation-low,coverage_high,0.27670696821190455,0.27694984462786526,0.2647754193960593,-0.0002428764159607133,0.011931548815845239,0.012174425231805952,-0.0025685820876382034,0.02522341816504612
CoDEx-M,ComplEx,Structured-low,coverage_high,0.2852789224292555,0.28028687937284785,0.27709357979259314,0.004992043056407658,0.008185342636662374,0.003193299580254716,-0.00669992430925831,0.014014290581550575
CoDEx-M,ComplEx,Relation-low,coverage_high,0.2852789224292555,0.28028687937284785,0.2625309926165216,0.004992043056407658,0.022747929812733936,0.017755886756326278,0.00787954938108863,0.028142713232507364
CoDEx-M,RotatE,Structured-low,coverage_high,0.026899715531044956,0.02602792251049309,0.025000674135872977,0.0008717930205518649,0.001899041395171979,0.0010272483746201141,-0.0018521119173427743,0.003863056499671799
CoDEx-M,RotatE,Relation-low,coverage_high,0.026899715531044956,0.02602792251049309,0.04170325301633892,0.0008717930205518649,-0.014803537485293963,-0.015675330505845828,-0.025797738539109882,-0.0045710501302866045
CoDEx-M,TransE,Structured-low,relation_high,0.06679578377509122,0.06584535243851895,0.06623114283849295,0.0009504313365722716,0.0005646409365982763,-0.00038579039997399533,-0.005867065091302841,0.00561171120715556
CoDEx-M,TransE,Relation-low,relation_high,0.06679578377509122,0.06584535243851895,0.06942907044849253,0.0009504313365722716,-0.0026332866734013055,-0.003583718009973577,-0.010849036388232982,0.0029435111673817363
CoDEx-M,DistMult,Structured-low,relation_high,0.24543732827193937,0.24823502845204445,0.23691016788552885,-0.002797700180105084,0.00852716038641052,0.011324860566515604,-0.0034582218651200793,0.02480728368775405
CoDEx-M,DistMult,Relation-low,relation_high,0.24543732827193937,0.24823502845204445,0.26710113716747697,-0.002797700180105084,-0.021663808895537595,-0.01886610871543251,-0.028614732327312913,-0.008389571279327665
CoDEx-M,ComplEx,Structured-low,relation_high,0.24634473904187512,0.2465829483656791,0.24411213353249425,-0.00023820932380397286,0.0022326055093808694,0.0024708148331848423,-0.012607921216095932,0.016831479649809467
CoDEx-M,ComplEx,Relation-low,relation_high,0.24634473904187512,0.2465829483656791,0.2597279171106622,-0.00023820932380397286,-0.013383178068787055,-0.013144968744983082,-0.026440386884484038,-0.0003411467866366434
CoDEx-M,RotatE,Structured-low,relation_high,0.02980332758702111,0.029482571494989115,0.024592020136642575,0.00032075609203199504,0.005211307450378535,0.00489055135834654,0.00045218014873712976,0.008774204864824381
CoDEx-M,RotatE,Relation-low,relation_high,0.02980332758702111,0.029482571494989115,0.053636032960943936,0.00032075609203199504,-0.023832705373922826,-0.02415346146595482,-0.03395289971470318,-0.014572099807248108
