dataset,model_a,model_b,condition_a,condition_b,slice,gap_a,gap_a_ci_low,gap_a_ci_high,gap_b,gap_b_ci_low,gap_b_ci_high,supported
CoDEx-M,TransE,RotatE,Random,Relation-low,coverage_low,0.06746150185137213,0.061318482425329134,0.07380488045956556,0.06179271791010006,0.05288749681409309,0.07123262634189617,False
CoDEx-M,TransE,RotatE,Structured-low,Relation-low,coverage_low,0.0661760811725136,0.06063607424386237,0.07219608955727704,0.06179271791010006,0.05288749681409309,0.07123262634189617,False
CoDEx-M,DistMult,ComplEx,Random,Structured-low,coverage_low,0.0075275892049820325,-0.004396316294221705,0.017611479454375013,0.0065573377392150745,-0.004506538391852306,0.017158440442174884,False
CoDEx-M,DistMult,ComplEx,Random,Relation-low,coverage_low,0.0075275892049820325,-0.004396316294221705,0.017611479454375013,0.009288731789200116,-0.0013423189171851114,0.019394918529109406,False
CoDEx-M,DistMult,ComplEx,Structured-low,Relation-low,coverage_low,0.0065573377392150745,-0.004506538391852306,0.017158440442174884,0.009288731789200116,-0.0013423189171851114,0.019394918529109406,False
CoDEx-M,DistMult,RotatE,Random,Structured-low,coverage_low,0.23897790241712688,0.2268496954637602,0.2509139661325229,0.23197877796466163,0.22051024527568897,0.24351443697346048,False
CoDEx-M,DistMult,RotatE,Random,Relation-low,coverage_low,0.23897790241712688,0.2268496954637602,0.2509139661325229,0.22177607657797707,0.2111762910129652,0.23265547504472373,False
CoDEx-M,DistMult,RotatE,Structured-low,Relation-low,coverage_low,0.23197877796466163,0.22051024527568897,0.24351443697346048,0.22177607657797707,0.2111762910129652,0.23265547504472373,False
CoDEx-M,ComplEx,RotatE,Random,Structured-low,coverage_low,0.23145031321214485,0.22025604573995344,0.24337590610351498,0.22542144022544655,0.21120954202527736,0.23949951144516896,False
CoDEx-M,ComplEx,RotatE,Random,Relation-low,coverage_low,0.23145031321214485,0.22025604573995344,0.24337590610351498,0.21248734478877696,0.201085095650697,0.22292127578623921,False
CoDEx-M,ComplEx,RotatE,Structured-low,Relation-low,coverage_low,0.22542144022544655,0.21120954202527736,0.23949951144516896,0.21248734478877696,0.201085095650697,0.22292127578623921,False
CoDEx-M,TransE,DistMult,Random,Structured-low,relation_low,-0.14528198509735252,-0.15826839494982595,-0.1332963747203668,-0.15345620551303762,-0.16601445209411547,-0.1410137833567391,False
CoDEx-M,TransE,DistMult,Random,Relation-low,relation_low,-0.14528198509735252,-0.15826839494982595,-0.1332963747203668,-0.10503617102106144,-0.1201805911666958,-0.08849589018499837,False
CoDEx-M,TransE,DistMult,Structured-low,Relation-low,relation_low,-0.15345620551303762,-0.16601445209411547,-0.1410137833567391,-0.10503617102106144,-0.1201805911666958,-0.08849589018499837,False
CoDEx-M,TransE,ComplEx,Random,Structured-low,relation_low,-0.1424996870485411,-0.15872187944819335,-0.1262582776389195,-0.13749047324542601,-0.15215763688799658,-0.12360904146123965,False
CoDEx-M,TransE,ComplEx,Random,Relation-low,relation_low,-0.1424996870485411,-0.15872187944819335,-0.1262582776389195,-0.09266606871969241,-0.10743555743096105,-0.0782176383298425,False
CoDEx-M,TransE,ComplEx,Structured-low,Relation-low,relation_low,-0.13749047324542601,-0.15215763688799658,-0.12360904146123965,-0.09266606871969241,-0.10743555743096105,-0.0782176383298425,False
CoDEx-M,TransE,RotatE,Random,Structured-low,relation_low,0.11413724185550925,0.1045502675186479,0.12383416659037784,0.11255279006353267,0.10451831043525724,0.12054503738152862,False
CoDEx-M,TransE,RotatE,Random,Relation-low,relation_low,0.11413724185550925,0.1045502675186479,0.12383416659037784,0.11724918394633276,0.10724286658781368,0.12804883971778241,False
CoDEx-M,TransE,RotatE,Structured-low,Relation-low,relation_low,0.11255279006353267,0.10451831043525724,0.12054503738152862,0.11724918394633276,0.10724286658781368,0.12804883971778241,False
CoDEx-M,DistMult,ComplEx,Random,Structured-low,relation_low,0.0027822980488114157,-0.011868820932949222,0.018010710283240708,0.01596573226761161,0.003181052500863554,0.029406298393561854,False
CoDEx-M,DistMult,ComplEx,Random,Relation-low,relation_low,0.0027822980488114157,-0.011868820932949222,0.018010710283240708,0.012370102301369035,0.003547440291206611,0.021659443371493937,False
CoDEx-M,DistMult,ComplEx,Structured-low,Relation-low,relation_low,0.01596573226761161,0.003181052500863554,0.029406298393561854,0.012370102301369035,0.003547440291206611,0.021659443371493937,False
CoDEx-M,DistMult,RotatE,Random,Structured-low,relation_low,0.2594192269528618,0.24692541086187858,0.27328101703948104,0.2660089955765703,0.2529186740652759,0.27910252498937654,False
CoDEx-M,DistMult,RotatE,Random,Relation-low,relation_low,0.2594192269528618,0.24692541086187858,0.27328101703948104,0.2222853549673942,0.2088007035822746,0.23526323436700447,False
CoDEx-M,DistMult,RotatE,Structured-low,Relation-low,relation_low,0.2660089955765703,0.2529186740652759,0.27910252498937654,0.2222853549673942,0.2088007035822746,0.23526323436700447,False
CoDEx-M,ComplEx,RotatE,Random,Structured-low,relation_low,0.2566369289040504,0.24234942998217157,0.2709420120304359,0.2500432633089587,0.23681048982488065,0.26365588678817886,False
CoDEx-M,ComplEx,RotatE,Random,Relation-low,relation_low,0.2566369289040504,0.24234942998217157,0.2709420120304359,0.20991525266602518,0.19792147577124708,0.2221204024158822,False
CoDEx-M,ComplEx,RotatE,Structured-low,Relation-low,relation_low,0.2500432633089587,0.23681048982488065,0.26365588678817886,0.20991525266602518,0.19792147577124708,0.2221204024158822,False
