dataset,model_a,model_b,condition,slice,interaction,ci_low,ci_high,supported
CoDEx-M,TransE,ComplEx,Structured-low,coverage_high,-0.011812992914370851,-0.025827532013699063,0.0029924759401145384,False
CoDEx-M,TransE,ComplEx,Relation-low,coverage_high,-0.026243205653427415,-0.042111192668778025,-0.01022144059259381,True
CoDEx-M,TransE,RotatE,Structured-low,coverage_high,-0.00964694170873625,-0.024046766124053143,0.0017307816918362407,False
CoDEx-M,TransE,RotatE,Relation-low,coverage_high,0.007188011608744691,-0.0048713972729056395,0.019701489994346705,False
CoDEx-M,DistMult,ComplEx,Structured-low,coverage_high,-0.008070798000105572,-0.026530082020373182,0.010479594762185747,False
CoDEx-M,DistMult,ComplEx,Relation-low,coverage_high,-0.005581461524520326,-0.023506848529476952,0.010434385809957264,False
CoDEx-M,DistMult,RotatE,Structured-low,coverage_high,-0.0059047467944709706,-0.020309865344510316,0.009430526130265904,False
CoDEx-M,DistMult,RotatE,Relation-low,coverage_high,0.02784975573765178,0.014542994132480013,0.04044192056254729,True
CoDEx-M,ComplEx,RotatE,Structured-low,coverage_high,0.002166051205634602,-0.008102314088197246,0.013259540426015608,False
CoDEx-M,ComplEx,RotatE,Relation-low,coverage_high,0.0334312172621721,0.019347214373035465,0.04673070565507135,True
CoDEx-M,TransE,DistMult,Structured-low,relation_high,-0.0117106509664896,-0.02559895330231997,0.00364702933990923,False
CoDEx-M,TransE,DistMult,Relation-low,relation_high,0.015282390705458934,-0.0003826922817420332,0.0285391290938218,False
CoDEx-M,TransE,ComplEx,Structured-low,relation_high,-0.0028566052331588376,-0.017589749538605592,0.01249576984048436,False
CoDEx-M,TransE,ComplEx,Relation-low,relation_high,0.009561250735009505,-0.004696021951382206,0.024953246383718836,False
CoDEx-M,TransE,RotatE,Structured-low,relation_high,-0.005276341758320535,-0.011879570959240046,0.002150169845589567,False
CoDEx-M,TransE,RotatE,Relation-low,relation_high,0.020569743455981244,0.010214989600404454,0.030479281970424918,True
CoDEx-M,DistMult,ComplEx,Structured-low,relation_high,0.008854045733330762,-0.008352266466117041,0.028552791554130794,False
CoDEx-M,DistMult,ComplEx,Relation-low,relation_high,-0.005721139970449429,-0.024199188518590334,0.013024180279571446,False
CoDEx-M,DistMult,RotatE,Structured-low,relation_high,0.0064343092081690645,-0.005663243539156988,0.018115387631555003,False
CoDEx-M,DistMult,RotatE,Relation-low,relation_high,0.00528735275052231,-0.006823860342488637,0.017280105249340448,False
CoDEx-M,ComplEx,RotatE,Structured-low,relation_high,-0.0024197365251616976,-0.016190107136450225,0.01173456581443214,False
CoDEx-M,ComplEx,RotatE,Relation-low,relation_high,0.011008492720971739,-0.006889743719964006,0.030633654371749277,False
